Kraftwerksname / Standort,Betreiber,Bundesland,Standort-PLZ,Kraftwerksstandort,Elektrische Bruttoleistung (MW),Anlagenart,Primärenergieträger,Latitude,Longitude,Type_Prod,Erzeuger
Wesseling 1-5,Basell Polyolefine GmbH,NW,50389.0,Wesseling,199.0,G/AK / GT / IKW,"Erdgas, HS, Crackeröl",50.8247166,6.9810852,Konventionell,Other
Wikinger,Iberdrola Renovables Deutschland GmbH,Offshore,,Ostsee,353.5,WEA,Wind (O),54.8127983468662,14.078075301394,Erneuerbar,Other
Wilhelmshaven,Onyx Power GmbH / BKW FMB Energie / WSW Energie und Wasser AG,NI,26386.0,Wilhelmshaven,830.0,DKW,Steinkohle,53.5278793,8.106301,Konventionell,Other
Wintershall,K+S KALI GmbH,HE,36266.0,Heringen,110.3,GuD / IKW,Erdgas,50.8870855,10.0078094,Konventionell,Other
Witznau 1 bis 4,Schluchseewerk AG,BW,79777.0,Witznau,240.0,PSW,Wasser,47.67995155,8.254975729369594,Erneuerbar,Other
Wolfsburg Nord/Süd GT 31/32,VW Kraftwerk GmbH,NI,38440.0,Wolfsburg,100.0,GT,Erdgas,52.4205588,10.7861682,Konventionell,Other
Wolfsburg Nord/Süd GuD,VW Kraftwerk GmbH,NI,38440.0,Wolfsburg,136.0,GuD,Erdgas,52.4205588,10.7861682,Konventionell,Other
Wolfsburg West 10,VW Kraftwerk GmbH,NI,38440.0,Wolfsburg,153.0,HKW / IKW,Steinkohle,52.4205588,10.7861682,Konventionell,Other
Wolfsburg West 20,VW Kraftwerk GmbH,NI,38440.0,Wolfsburg,153.0,HKW / IKW,Steinkohle,52.4205588,10.7861682,Konventionell,Other
Wolfsburg West 30 GuD 1,VW Kraftwerk GmbH,NI,38440.0,Wolfsburg,144.0,GuD / IKW,Erdgas,52.4205588,10.7861682,Konventionell,Other
Wolfsburg West 30 GuD 2,VW Kraftwerk GmbH,NI,38440.0,Wolfsburg,144.0,GuD / IKW,Erdgas,52.4205588,10.7861682,Konventionell,Other
Wörth,Palm Power GmbH & Co. KG (Papierfabrik),RP,76744.0,Wörth,151.0,GuD,Erdgas,49.0543232,8.2667399,Konventionell,Other
Wuppertal-Barmen 1 u. 2,WSW Energie und Wasser AG,NW,42275.0,Wuppertal,151.0,GuD,"Erdgas, HEL",51.264018,7.1780374,Konventionell,Other
Würzburg-Friedensbrücke GuD I/II,Heizkraftwerk Würzburg GmbH / StW Würzburg,BY,97080.0,Würzburg,151.0,GuD,Erdgas,49.7933723,9.9309779,Konventionell,Other
Wybelsumer Polder,WWP GmbH,NI,26721.0,Emden,110.5,WEA,Wind (L),53.3670541,7.2058304,Erneuerbar,Other
Zerbst Energiepark,Getec Green Energy AG,ST,39264.0,Zerbst,120.4,PV / WEA / Akku,Licht / Wind (L) / Batteriespeicher,51.96973975,12.07454635351719,Erneuerbar,Other
Zolling-Leininger 5,Onyx Kraftwerk Zolling GmbH & Co.KGaA (Riverstone Holdings LLC),BY,85406.0,Zolling,501.0,HKW,Steinkohle,48.4514051,11.7727339,Konventionell,Other
